province,latitude,longitude
ACEH,4.36855,97.0253
SUMATERA UTARA,2.19235,99.38122
SUMATERA BARAT,-1.34225,100.0761
RIAU,0.50041,101.54758
JAMBI,-1.61157,102.7797
SUMATERA SELATAN,-3.12668,104.09306
BENGKULU,-3.51868,102.53598
LAMPUNG,-4.8555,105.0273
KEPULAUAN BANGKA BELITUNG,-2.75775,107.58394
KEPULAUAN RIAU,-0.15478,104.58037
DKI JAKARTA,-6.1745,106.8227
JAWA BARAT,-6.88917,107.64047
JAWA TENGAH,-7.30324,110.00441
DAERAH ISTIMEWA YOGYAKARTA,-7.7956,110.3695
JAWA TIMUR,-6.96851,113.98005
BANTEN,-6.44538,106.13756
BALI,-8.23566,115.12239
NUSA TENGGARA BARAT,-8.12179,117.63696
NUSA TENGGARA TIMUR,-8.56568,120.69786
KALIMANTAN BARAT,-0.13224,111.09689
KALIMANTAN TENGAH,-1.49958,113.29033
KALIMANTAN SELATAN,-2.94348,115.37565
KALIMANTAN TIMUR,0.78844,116.242
KALIMANTAN UTARA,2.72594,116.911
SULAWESI UTARA,0.65557,124.09015
SULAWESI TENGAH,-1.69378,120.80886
SULAWESI SELATAN,-3.64467,119.94719
SULAWESI TENGGARA,-3.54912,121.72796
GORONTALO,0.71862,122.45559
SULAWESI BARAT,-2.49745,119.3919
MALUKU,-3.11884,129.42078
MALUKU UTARA,0.63012,127.97202
PAPUA BARAT,-1.38424,132.90253
PAPUA,-3.98857,138.34853
